date,equity,price,revenue,noi,debt_payment,loan_payoff,valuation,cashflow,horizon,market,date_cashflow,slice
2023-03-31,0.0,457966.9485,30430.250742474094,13997.915341538082,-13765.724531663998,0.0,0.0,232.19080987408415,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class A
2024-03-31,0.0,408011.4173,30593.90587870125,14073.196704202574,-13765.724531663998,0.0,0.0,307.47217253857525,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class A
2025-03-31,0.0,410970.6967,30724.04018927598,14133.05848706695,-13765.724531663998,-301879.92393999995,410970.6967,109458.10671540297,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class A
2020-03-31,-60842.56125,202808.5375,0.0,0.0,0.0,0.0,0.0,-60842.56125,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class B
2021-03-31,0.0,218941.3296,16657.99247309324,7662.67653762289,-6473.6485170000005,0.0,0.0,1189.028020622889,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class B
2022-03-31,0.0,245767.4771,18692.796580809627,8598.686427172428,-6473.6485170000005,0.0,0.0,2125.0379101724275,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class B
2023-03-31,0.0,226103.9907,19811.097907524207,9113.105037461135,-6473.6485170000005,0.0,0.0,2639.4565204611345,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class B
2024-03-31,0.0,210645.8769,20147.07533367234,9267.654653489275,-6473.6485170000005,0.0,0.0,2794.0061364892745,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class B
2025-03-31,0.0,217194.8657,20522.95647949846,9440.559980569291,-6473.6485170000005,-141965.97625,217194.8657,78195.80091356928,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class B
2020-03-31,-38207.70861,127359.0287,0.0,0.0,0.0,0.0,0.0,-38207.70861,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class C
2021-03-31,0.0,139207.1683,12780.998341660832,5879.259237163982,-4065.300196104,0.0,0.0,1813.9590410599822,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class C
2022-03-31,0.0,158445.8779,13583.161142786003,6248.25412568156,-4065.300196104,0.0,0.0,2182.9539295775603,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class C
2023-03-31,0.0,147295.6409,14162.999061538774,6514.9795683078355,-4065.300196104,0.0,0.0,2449.6793722038356,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class C
2024-03-31,0.0,139147.9171,14722.001007071323,6772.120463252808,-4065.300196104,0.0,0.0,2706.820267148808,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class C
2025-03-31,0.0,143418.8516,14952.708809694706,6878.246052459564,-4065.300196104,-89151.32009,143418.8516,57080.47736635557,5 Yrs (2020-2025),"Chicago,Illinois",2020-03-31,Class C
2020-03-31,-47725.89597000001,159086.3199,0.0,0.0,0.0,0.0,0.0,-47725.89597000001,5 Yrs (2020-2025),"Cincinnati,Ohio",2020-03-31,Class A
2021-03-31,0.0,176412.4046,16777.526558279376,7717.662216808512,-5078.035331208,0.0,0.0,2639.6268856005127,5 Yrs (2020-2025),"Cincinnati,Ohio",2020-03-31,Class A
2022-03-31,0.0,198496.9392,19557.320702392484,8996.367523100542,-5078.035331208,0.0,0.0,3918.332191892542,5 Yrs (2020-2025),"Cincinnati,Ohio",2020-03-31,Class A
2023-03-31,0.0,185383.3328,20012.82269632816,9205.898440310953,-5078.035331208,0.0,0.0,4127.863109102954,5 Yrs (2020-2025),"Cincinnati,Ohio",2020-03-31,Class A
